BusinessName,Type,Latitude,Longitude,Verified
"Ahmad Property Dealers",PROPERTY_DEALER,,,No
"Rana Ahmad Property Dealer",PROPERTY_DEALER,,,No
"Decent Real Estate & Builder's",PROPERTY_DEALER,,,No
"AR Developers",PROPERTY_DEALER,,,No
"Chichawatni Property Links",PROPERTY_DEALER,,,No
"Ali Property Management",PROPERTY_DEALER,,,No
"Chohan Property Advisers",PROPERTY_DEALER,,,No
"Arshad Property Dealer",PROPERTY_DEALER,,,No
"Topline Real Estate",PROPERTY_DEALER,,,No
"Fahad Property Advisor & Builders",PROPERTY_DEALER,,,No
"Azan Property & Auto Dealers",PROPERTY_DEALER,,,No
"Tariq Mehmood Property Dealer",PROPERTY_DEALER,,,No
"Maan Developers",PROPERTY_DEALER,,,No
"Punjab Property Adviser",PROPERTY_DEALER,,,No
"Lalazar / Pak Arab Developers",PROPERTY_DEALER,,,No
"Al-Haram Properties",PROPERTY_DEALER,,,No
"Model Town Housing Society Chichawatni",PROPERTY_DEALER,,,No
"Hassan Malik Liaqat Real Estate",PROPERTY_DEALER,,,No
"Property Network",PROPERTY_DEALER,,,No
"SAAD Rent A Car & Property Advisor",PROPERTY_DEALER,,,No
"Ravi Property Advisor",PROPERTY_DEALER,,,No
"Al Fajar Motors & Property Advisor",PROPERTY_DEALER,,,No
"Al Hamra Property Advisor",PROPERTY_DEALER,,,No
"Lasani Property Dealer",PROPERTY_DEALER,,,No
"Rana Aqib Biqa Anar Property Advisor",PROPERTY_DEALER,,,No
"Royal Estate Developer & Property Advisors",PROPERTY_DEALER,,,No
"Mugal House",HOUSE_BUILDER,,,No
"Ibn-e-Zaheer Associate & Construction",HOUSE_BUILDER,,,No
"Arslan Rafique",HOUSE_BUILDER,,,No
"Chaudary Brothers",HOUSE_BUILDER,,,No
"CHAUHDARY CONSTRUCTION COMPANY",HOUSE_BUILDER,,,No
"Lasani Marble Chichawatni",BUILDING_MATERIAL,,,No
"Roofa Bhai",HOUSE_BUILDER,,,No
"Suleman Ansari",HOUSE_BUILDER,,,No
"Zulfiqar House",HOUSE_BUILDER,,,No
"AB Traders & Construction",HOUSE_BUILDER,,,No
"Urban Builders",HOUSE_BUILDER,,,No
"Chaudhary Zeeshan Maan",HOUSE_BUILDER,,,No
"Ansari Mansion",HOUSE_BUILDER,,,No
"Bao Rizwan Welding Shop",CONSTRUCTION_COMPANY,,,No
"SAJID Electric & Sanitory Store",BUILDING_MATERIAL,,,No
"Bahadur",HOUSE_BUILDER,,,No
"Schollars Modal School",SCHOOL,,,No
"Scholars Model Girls High School",SCHOOL,,,No
"The Laurels Campus",SCHOOL,,,No
"Chichawatni College of Technology",SCHOOL,,,No
"Masjid Quba",MOSQUE,,,No
"Masjid Ayesha Sadika Ahlehadees",MOSQUE,,,No
"Hayat Electronic Chichawatni",LOCAL_BUSINESS,,,No
"Hussain Traders",LOCAL_BUSINESS,,,No
